S.NO,department,Location Of Job,University
91,CS,Kitchener,NO
92,CS,Calagary,NO
93,Physics,Quebec,NO
94,astronomy,Winnipeg,NO
95,Chemical,Vancour,yes
96,astronomy,Hamilton,yes
97,Math,Kitchener,NO
98,Bio,Winnipeg,NO
99,Electrical,Edmonton,NO
100,Physics,Ottawa,yes
101,CS,Winnipeg,NO
102,Math,Edmonton,yes
103,Music,Vancour,yes
104,Math,Kitchener,yes
105,Chemical,Ottawa,yes
106,CS,Calagary,NO
107,Chemical,Quebec,yes
108,Physics,Vancour,NO
109,Physics,Calagary,NO
110,Music,Quebec,yes
111,Physics,Kitchener,NO
112,Physics,Kitchener,NO
113,CS,Winnipeg,NO
114,Chemical,Hamilton,NO
115,Music,Edmonton,yes
116,Math,Kitchener,NO
117,Music,Calagary,NO
118,astronomy,Ottawa,NO
119,CS,Kitchener,yes
120,Math,Vancour,NO
121,Bio,Quebec,yes
122,Math,Winnipeg,yes
123,Math,Calagary,yes
124,Bio,Edmonton,yes
125,Math,Vancour,yes
126,astronomy,Quebec,NO
127,Electrical,Quebec,yes
128,Chemical,Vancour,yes
129,astronomy,Quebec,NO
130,CS,Winnipeg,yes
131,Chemical,Quebec,NO
132,Music,Winnipeg,yes
133,Chemical,Ottawa,yes
134,CS,Calagary,yes
135,CS,Quebec,NO
136,Bio,Hamilton,yes
137,Electrical,Hamilton,yes
138,Music,Kitchener,yes
139,Chemical,Edmonton,yes
140,Chemical,Ottawa,NO
141,Chemical,Vancour,yes
142,CS,Ottawa,yes
143,Physics,Vancour,yes
144,Math,Edmonton,yes
145,Physics,Edmonton,yes
146,CS,Calagary,NO
147,Bio,Calagary,NO
148,CS,Kitchener,NO
149,Physics,Vancour,NO
150,astronomy,Winnipeg,yes
151,Bio,Kitchener,yes
152,Music,Quebec,NO
153,Bio,Vancour,NO
154,astronomy,Winnipeg,NO
155,Electrical,Quebec,NO
156,Chemical,Kitchener,yes
157,astronomy,Edmonton,yes
158,CS,Ottawa,NO
159,Electrical,Vancour,yes
160,Bio,Hamilton,NO
161,Music,Calagary,NO
162,Music,Calagary,yes
163,Math,Edmonton,yes
164,Chemical,Hamilton,NO
165,Electrical,Edmonton,yes
166,Math,Winnipeg,yes
167,astronomy,Vancour,yes
168,Physics,Vancour,NO
169,Math,Edmonton,NO
170,Electrical,Vancour,yes
171,Bio,Vancour,NO
172,Music,Calagary,NO
173,Electrical,Edmonton,yes
174,Music,Winnipeg,NO
175,Electrical,Ottawa,yes
176,astronomy,Ottawa,yes
177,Electrical,Edmonton,yes
178,Chemical,Calagary,NO
179,Electrical,Winnipeg,NO
180,CS,Winnipeg,yes
181,Math,Winnipeg,yes
182,Music,Ottawa,yes
183,CS,Vancour,NO
184,astronomy,Winnipeg,yes
185,Music,Vancour,NO
186,Physics,Calagary,yes
187,Physics,Ottawa,NO
188,Physics,Ottawa,yes
189,CS,Edmonton,yes
190,Music,Ottawa,yes
191,Bio,Vancour,NO
192,Chemical,Kitchener,yes
193,CS,Quebec,yes
194,Math,Quebec,yes
195,CS,Calagary,NO
196,Music,Ottawa,yes
197,Music,Quebec,yes
198,Bio,Kitchener,NO
199,Electrical,Quebec,yes
200,astronomy,Winnipeg,yes
201,astronomy,Quebec,yes
202,astronomy,Edmonton,NO
203,Electrical,Edmonton,NO
204,Physics,Calagary,yes
205,Bio,Calagary,NO
206,Physics,Ottawa,yes
207,Bio,Vancour,yes
208,Electrical,Calagary,yes
209,Bio,Edmonton,yes
210,Music,Ottawa,NO
211,Electrical,Calagary,yes
212,Math,Edmonton,yes
213,Electrical,Kitchener,yes
214,Bio,Edmonton,yes
215,CS,Ottawa,NO
216,CS,Winnipeg,NO
217,Bio,Hamilton,yes
218,Math,Kitchener,yes
219,Physics,Edmonton,yes
220,Chemical,Kitchener,NO
221,Physics,Hamilton,NO
222,Bio,Winnipeg,yes
223,Math,Ottawa,NO
224,astronomy,Calagary,yes
225,Chemical,Ottawa,yes
226,Chemical,Vancour,yes
227,Electrical,Edmonton,yes
228,Music,Edmonton,NO
229,astronomy,Edmonton,NO
230,Bio,Calagary,yes
231,astronomy,Vancour,yes
232,astronomy,Winnipeg,NO
233,astronomy,Hamilton,yes
234,astronomy,Edmonton,yes
235,Math,Kitchener,NO
236,CS,Kitchener,yes
237,Music,Winnipeg,NO
238,Music,Ottawa,NO
239,astronomy,Winnipeg,NO
240,CS,Winnipeg,NO
241,Music,Winnipeg,NO
242,Chemical,Edmonton,NO
243,astronomy,Hamilton,yes
244,Math,Kitchener,NO
245,Music,Winnipeg,yes
246,Electrical,Edmonton,NO
247,Bio,Hamilton,yes
248,Chemical,Calagary,NO
249,Chemical,Ottawa,NO
250,Chemical,Ottawa,NO
251,CS,Ottawa,NO
252,Electrical,Quebec,yes
253,CS,Edmonton,yes
254,Physics,Winnipeg,NO
255,Physics,Hamilton,yes
256,Bio,Calagary,NO
257,Math,Quebec,yes
258,Physics,Ottawa,yes
259,Physics,Hamilton,NO
260,Chemical,Vancour,NO
261,Physics,Hamilton,NO
262,Bio,Ottawa,NO
263,CS,Kitchener,NO
264,Music,Winnipeg,yes
265,astronomy,Calagary,NO
266,astronomy,Kitchener,yes
267,Bio,Quebec,yes
268,Electrical,Winnipeg,yes
269,Physics,Edmonton,NO
270,astronomy,Vancour,NO
271,Bio,Calagary,yes
272,Electrical,Winnipeg,NO
273,Physics,Kitchener,yes
274,Music,Quebec,NO
275,Chemical,Vancour,NO
276,Music,Edmonton,yes
277,Math,Kitchener,yes
278,Bio,Calagary,NO
279,Electrical,Kitchener,yes
280,Music,Winnipeg,yes
281,astronomy,Winnipeg,NO
282,Electrical,Vancour,NO
283,Chemical,Edmonton,NO
284,Bio,Ottawa,NO
285,CS,Winnipeg,yes
286,Music,Edmonton,yes
287,Chemical,Quebec,NO
288,Physics,Calagary,yes
289,astronomy,Kitchener,NO
290,Electrical,Quebec,yes
291,astronomy,Winnipeg,NO
292,Physics,Vancour,NO
293,astronomy,Vancour,NO
294,Chemical,Edmonton,NO
295,Math,Kitchener,yes
296,CS,Calagary,yes
297,astronomy,Winnipeg,NO
298,Chemical,Hamilton,yes
299,Chemical,Vancour,NO
300,Music,Quebec,yes
301,astronomy,Hamilton,yes
302,Bio,Calagary,NO
303,Bio,Ottawa,yes
304,Chemical,Edmonton,yes
305,CS,Hamilton,yes
306,Music,Edmonton,yes
307,CS,Kitchener,NO
308,Bio,Calagary,yes
309,Electrical,Quebec,NO
310,Electrical,Ottawa,NO
311,Electrical,Quebec,yes
312,Math,Winnipeg,NO
313,Physics,Vancour,yes
314,Math,Winnipeg,NO
315,Chemical,Quebec,NO
316,Music,Ottawa,NO
317,Electrical,Calagary,yes
318,Math,Calagary,yes
319,Chemical,Quebec,yes
320,Math,Hamilton,yes
321,Electrical,Quebec,NO
322,astronomy,Edmonton,yes
323,Music,Edmonton,NO
324,Electrical,Ottawa,NO
325,Bio,Calagary,NO
326,Electrical,Winnipeg,yes
327,CS,Winnipeg,NO
328,Physics,Quebec,NO
329,astronomy,Edmonton,NO
330,Chemical,Hamilton,yes
331,Electrical,Calagary,yes
332,Electrical,Hamilton,NO
333,Math,Vancour,yes
334,Physics,Quebec,NO
335,Math,Quebec,NO
336,CS,Calagary,yes
337,Physics,Hamilton,yes
338,CS,Kitchener,NO
339,Bio,Vancour,yes
340,Math,Ottawa,yes
341,astronomy,Calagary,yes
342,Math,Winnipeg,yes
343,Math,Kitchener,yes
344,astronomy,Ottawa,yes
345,Electrical,Quebec,yes
346,Chemical,Ottawa,yes
347,Music,Vancour,NO
348,Bio,Winnipeg,yes
349,Music,Ottawa,NO
350,CS,Ottawa,yes
351,Music,Hamilton,yes
352,Math,Winnipeg,NO
353,Music,Hamilton,yes
354,Chemical,Calagary,NO
355,Physics,Kitchener,NO
356,Math,Winnipeg,yes
357,Electrical,Edmonton,NO
358,Math,Winnipeg,NO
359,Bio,Vancour,yes
360,CS,Calagary,NO
361,CS,Edmonton,NO
362,Music,Winnipeg,yes
363,Math,Quebec,NO
364,astronomy,Edmonton,yes
365,Chemical,Quebec,NO
366,Physics,Ottawa,NO
367,Bio,Kitchener,yes
368,Chemical,Ottawa,yes
369,Electrical,Quebec,NO
370,Bio,Edmonton,NO
371,Music,Kitchener,yes
372,CS,Calagary,yes
373,Chemical,Hamilton,yes
374,Electrical,Winnipeg,yes
375,Music,Calagary,NO
376,Bio,Quebec,NO
377,Bio,Calagary,NO
378,CS,Edmonton,yes
379,Chemical,Hamilton,yes
380,Music,Kitchener,yes
381,Bio,Hamilton,yes
382,astronomy,Vancour,yes
383,Chemical,Quebec,yes
384,Electrical,Edmonton,NO
385,Chemical,Vancour,yes
386,Bio,Winnipeg,NO
387,Music,Edmonton,yes
388,Physics,Kitchener,yes
389,Electrical,Kitchener,NO
390,Chemical,Edmonton,yes
391,Math,Winnipeg,NO
392,Chemical,Ottawa,yes
393,Chemical,Ottawa,NO
394,Music,Winnipeg,yes
395,Bio,Edmonton,yes
396,Physics,Edmonton,yes
397,Math,Ottawa,NO
398,astronomy,Hamilton,yes
399,Bio,Kitchener,yes
400,Bio,Hamilton,NO
401,Math,Quebec,yes
402,Bio,Ottawa,yes
403,astronomy,Quebec,NO
404,Bio,Edmonton,NO
405,Bio,Quebec,NO
406,Electrical,Calagary,NO
407,Math,Kitchener,NO
408,Music,Hamilton,yes
409,Electrical,Edmonton,yes
410,CS,Edmonton,NO
411,Math,Edmonton,yes
412,Music,Calagary,NO
413,astronomy,Quebec,yes
414,Math,Ottawa,yes
415,Math,Quebec,NO
416,Math,Quebec,yes
417,Bio,Winnipeg,yes
418,Electrical,Winnipeg,yes
419,Bio,Edmonton,NO
420,Chemical,Hamilton,yes
421,Music,Kitchener,NO
422,Math,Hamilton,yes
423,Chemical,Calagary,NO
424,astronomy,Winnipeg,yes
425,Math,Hamilton,NO
426,CS,Winnipeg,NO
427,astronomy,Calagary,NO
428,Bio,Calagary,yes
429,CS,Edmonton,NO
430,Electrical,Winnipeg,yes
431,CS,Vancour,NO
432,Chemical,Edmonton,NO
433,Electrical,Quebec,NO
434,Music,Calagary,NO
435,Physics,Calagary,yes
436,Physics,Calagary,yes
437,Bio,Kitchener,NO
438,CS,Kitchener,yes
439,Music,Quebec,NO
440,Math,Hamilton,yes
441,Math,Edmonton,NO
442,Physics,Vancour,NO
443,astronomy,Edmonton,yes
444,Bio,Quebec,yes
445,Math,Edmonton,NO
446,Bio,Edmonton,NO
447,Chemical,Ottawa,NO
448,Music,Calagary,yes
449,Math,Ottawa,NO
450,Music,Quebec,NO
451,Music,Calagary,NO
452,Math,Hamilton,NO
453,Physics,Kitchener,NO
454,Physics,Winnipeg,yes
455,Physics,Ottawa,yes
456,Bio,Ottawa,NO
457,Chemical,Winnipeg,NO
458,astronomy,Winnipeg,yes
459,Physics,Vancour,yes
460,Math,Edmonton,NO
461,Chemical,Winnipeg,yes
462,Electrical,Kitchener,NO
463,Music,Edmonton,NO
464,Electrical,Quebec,yes
465,Music,Hamilton,NO
466,Music,Edmonton,NO
467,Physics,Calagary,NO
468,Math,Winnipeg,NO
469,Math,Kitchener,NO
470,Chemical,Hamilton,yes
471,astronomy,Vancour,yes
472,astronomy,Quebec,NO
473,CS,Kitchener,yes
474,CS,Kitchener,NO
475,Music,Vancour,NO
476,Music,Quebec,NO
477,Music,Kitchener,yes
478,Physics,Edmonton,yes
479,Chemical,Quebec,yes
480,Math,Kitchener,NO
481,Electrical,Vancour,NO
482,Physics,Ottawa,NO
483,Chemical,Edmonton,yes
484,Music,Hamilton,NO
485,Physics,Vancour,NO
486,Bio,Quebec,NO
487,Music,Quebec,NO
488,Physics,Winnipeg,yes
489,Chemical,Hamilton,NO
490,Music,Vancour,NO
491,Math,Vancour,yes
492,Chemical,Calagary,NO
493,Music,Hamilton,NO
494,Bio,Ottawa,NO
495,Physics,Winnipeg,NO
496,Chemical,Vancour,NO
497,CS,Ottawa,yes
498,Math,Hamilton,yes
499,Bio,Ottawa,yes
500,Bio,Winnipeg,NO
501,astronomy,Winnipeg,yes
502,Physics,Kitchener,NO
503,astronomy,Calagary,NO
504,Electrical,Hamilton,NO
505,Bio,Quebec,yes
506,Bio,Edmonton,yes
507,Chemical,Kitchener,yes
508,Bio,Vancour,yes
509,Electrical,Calagary,yes
510,Physics,Ottawa,NO
511,astronomy,Calagary,yes
512,Music,Calagary,NO
513,CS,Edmonton,yes
514,Music,Kitchener,yes
515,Bio,Calagary,NO
516,Physics,Edmonton,yes
517,Music,Edmonton,yes
518,Music,Hamilton,NO
519,Physics,Ottawa,yes
520,Bio,Vancour,yes
521,CS,Ottawa,NO
522,CS,Winnipeg,yes
523,Math,Winnipeg,yes
524,Electrical,Quebec,yes
525,CS,Quebec,NO
526,Music,Hamilton,NO
527,Chemical,Quebec,yes
528,Math,Kitchener,NO
529,Physics,Hamilton,NO
530,Math,Winnipeg,yes
531,Chemical,Ottawa,NO
532,CS,Calagary,yes
533,astronomy,Calagary,yes
534,Bio,Edmonton,NO
535,Physics,Vancour,yes
536,astronomy,Quebec,yes
537,astronomy,Kitchener,yes
538,Math,Ottawa,yes
539,Music,Winnipeg,yes
540,CS,Winnipeg,NO
541,CS,Vancour,NO
542,Physics,Hamilton,NO
543,CS,Ottawa,yes
544,Music,Vancour,NO
545,Music,Kitchener,NO
546,astronomy,Ottawa,NO
547,Physics,Edmonton,NO
548,Physics,Hamilton,NO
549,CS,Ottawa,yes
550,Physics,Ottawa,NO
551,astronomy,Quebec,yes
552,astronomy,Ottawa,NO
553,astronomy,Vancour,yes
554,Electrical,Quebec,NO
555,CS,Winnipeg,yes
556,Bio,Quebec,NO
557,Physics,Hamilton,NO
558,CS,Hamilton,NO
559,CS,Edmonton,yes
560,Bio,Ottawa,NO
561,astronomy,Edmonton,NO
562,Physics,Calagary,yes
563,Chemical,Hamilton,NO
564,Chemical,Quebec,yes
565,CS,Winnipeg,NO
566,Bio,Calagary,yes
567,CS,Calagary,NO
568,Music,Edmonton,NO
569,Math,Winnipeg,NO
570,Math,Vancour,NO
571,Chemical,Hamilton,NO
572,Music,Hamilton,yes
573,Music,Quebec,NO
574,Math,Kitchener,NO
575,CS,Quebec,yes
576,Physics,Calagary,NO
577,Electrical,Edmonton,NO
578,Bio,Vancour,yes
579,Chemical,Calagary,yes
580,Music,Hamilton,yes
581,Electrical,Winnipeg,yes
582,Physics,Edmonton,NO
583,Bio,Winnipeg,NO
584,Physics,Ottawa,yes
585,Bio,Winnipeg,yes
586,CS,Vancour,yes
587,Electrical,Edmonton,NO
588,Music,Hamilton,yes
589,CS,Ottawa,NO
590,Physics,Kitchener,NO
591,Chemical,Quebec,yes
592,Electrical,Vancour,yes
593,Chemical,Ottawa,NO
594,Chemical,Vancour,yes
595,Math,Hamilton,yes
596,Electrical,Edmonton,NO
597,Physics,Quebec,yes
598,Bio,Hamilton,NO
599,Chemical,Vancour,NO
600,Electrical,Quebec,NO
601,astronomy,Vancour,NO
602,Math,Ottawa,yes
603,Chemical,Hamilton,yes
604,Music,Ottawa,yes
605,Chemical,Calagary,NO
606,Chemical,Calagary,NO
607,astronomy,Ottawa,NO
608,CS,Quebec,NO
609,Music,Winnipeg,NO
610,Math,Winnipeg,yes
611,astronomy,Vancour,yes
612,astronomy,Ottawa,yes
613,Chemical,Kitchener,NO
614,Math,Calagary,yes
615,Electrical,Hamilton,yes
616,Physics,Winnipeg,NO
617,Electrical,Ottawa,NO
618,Physics,Edmonton,NO
619,Music,Kitchener,yes
620,CS,Edmonton,yes
621,CS,Winnipeg,NO
622,Math,Kitchener,yes
623,astronomy,Hamilton,yes
624,Electrical,Edmonton,yes
625,Physics,Quebec,yes
626,Electrical,Quebec,NO
627,Physics,Edmonton,yes
628,astronomy,Quebec,yes
629,CS,Quebec,yes
630,Math,Ottawa,yes
631,Bio,Vancour,NO
632,Chemical,Kitchener,NO
633,astronomy,Ottawa,NO
634,Chemical,Kitchener,NO
635,Chemical,Calagary,yes
636,Music,Vancour,NO
637,Chemical,Quebec,NO
638,Physics,Hamilton,NO
639,astronomy,Quebec,yes
640,Physics,Hamilton,NO
641,Math,Hamilton,yes
642,astronomy,Calagary,NO
643,CS,Vancour,yes
644,Bio,Quebec,yes
645,astronomy,Quebec,NO
646,Math,Quebec,yes
647,astronomy,Edmonton,yes
648,Music,Vancour,yes
649,CS,Vancour,yes
650,astronomy,Vancour,yes
651,CS,Ottawa,yes
652,Math,Winnipeg,NO
653,Math,Calagary,yes
654,Electrical,Hamilton,NO
655,Music,Ottawa,NO
656,CS,Calagary,yes
657,Chemical,Calagary,NO
658,CS,Quebec,NO
659,CS,Ottawa,yes
660,Electrical,Quebec,NO
661,Chemical,Quebec,NO
662,Chemical,Quebec,NO
663,Music,Quebec,yes
664,Math,Calagary,yes
665,CS,Vancour,NO
666,Music,Winnipeg,NO
667,Math,Quebec,NO
668,Physics,Kitchener,NO
669,Electrical,Edmonton,yes
670,Math,Quebec,yes
671,Chemical,Vancour,yes
672,Bio,Winnipeg,yes
673,Physics,Hamilton,NO
674,CS,Kitchener,NO
675,Math,Edmonton,yes
676,Music,Quebec,NO
677,Physics,Vancour,NO
678,Electrical,Winnipeg,NO
679,Music,Ottawa,yes
680,Music,Quebec,NO
681,Music,Winnipeg,yes
682,Math,Edmonton,yes
683,CS,Hamilton,NO
684,Chemical,Ottawa,yes
685,Electrical,Hamilton,yes
686,astronomy,Kitchener,NO
687,Math,Kitchener,yes
688,astronomy,Kitchener,NO
689,CS,Edmonton,NO
690,Music,Hamilton,yes
691,Electrical,Edmonton,yes
692,Music,Hamilton,NO
693,Chemical,Quebec,NO
694,astronomy,Ottawa,yes
695,CS,Quebec,yes
696,Music,Ottawa,yes
697,Music,Hamilton,yes
698,Chemical,Ottawa,yes
699,Bio,Hamilton,yes
700,Electrical,Hamilton,NO
701,Music,Hamilton,NO
702,Music,Kitchener,NO
703,Physics,Kitchener,yes
704,Physics,Winnipeg,NO
705,astronomy,Winnipeg,NO
706,Bio,Hamilton,yes
707,Electrical,Hamilton,yes
708,Electrical,Edmonton,NO
709,Electrical,Calagary,yes
710,CS,Edmonton,yes
711,astronomy,Quebec,yes
712,Music,Vancour,NO
713,Physics,Kitchener,yes
714,astronomy,Ottawa,NO
715,Music,Calagary,yes
716,CS,Calagary,NO
717,Chemical,Calagary,NO
718,Math,Hamilton,NO
719,Bio,Hamilton,NO
720,Bio,Hamilton,yes
721,Math,Kitchener,NO
722,astronomy,Ottawa,yes
723,Math,Quebec,yes
724,CS,Hamilton,NO
725,Music,Hamilton,yes
726,Physics,Edmonton,yes
727,CS,Quebec,yes
728,Physics,Quebec,yes
729,Chemical,Winnipeg,NO
730,astronomy,Quebec,yes
731,Electrical,Hamilton,NO
732,Bio,Calagary,yes
733,astronomy,Kitchener,NO
734,astronomy,Calagary,NO
735,CS,Calagary,yes
736,Math,Winnipeg,NO
737,Music,Hamilton,NO
738,CS,Vancour,NO
739,astronomy,Vancour,NO
740,CS,Winnipeg,NO
741,Bio,Calagary,NO
742,Math,Hamilton,yes
743,Physics,Edmonton,yes
744,Physics,Ottawa,yes
745,Chemical,Winnipeg,yes
746,Math,Winnipeg,yes
747,Math,Kitchener,NO
748,Math,Vancour,NO
749,Physics,Vancour,NO
750,Electrical,Quebec,NO
751,Physics,Calagary,NO
752,Chemical,Vancour,NO
753,Chemical,Quebec,NO
754,Physics,Kitchener,NO
755,Electrical,Kitchener,NO
756,Math,Winnipeg,yes
757,Math,Quebec,NO
758,Bio,Quebec,NO
759,Music,Hamilton,yes
760,Physics,Kitchener,yes
761,astronomy,Quebec,NO
762,CS,Calagary,yes
763,Electrical,Kitchener,NO
764,CS,Calagary,yes
765,Electrical,Hamilton,yes
766,Chemical,Edmonton,NO
767,Chemical,Vancour,yes
768,Bio,Hamilton,yes
769,astronomy,Quebec,yes
770,Bio,Ottawa,yes
771,Math,Vancour,yes
772,Bio,Calagary,NO
773,Physics,Calagary,yes
774,Physics,Hamilton,yes
775,Physics,Edmonton,NO
776,astronomy,Edmonton,yes
777,Bio,Edmonton,NO
778,Chemical,Kitchener,NO
779,Bio,Quebec,yes
780,Music,Vancour,NO
781,Chemical,Winnipeg,yes
782,CS,Kitchener,NO
783,Math,Quebec,NO
784,CS,Ottawa,yes
785,Electrical,Ottawa,yes
786,Bio,Calagary,NO
787,astronomy,Hamilton,NO
788,Math,Edmonton,yes
789,Bio,Kitchener,NO
790,CS,Winnipeg,yes
791,Chemical,Hamilton,NO
792,Electrical,Vancour,NO
793,Math,Winnipeg,yes
794,Bio,Quebec,NO
795,astronomy,Calagary,NO
796,Electrical,Winnipeg,NO
797,Bio,Edmonton,yes
798,Bio,Winnipeg,NO
799,astronomy,Vancour,NO
800,Music,Vancour,yes
801,Music,Hamilton,NO
802,Bio,Ottawa,NO
803,CS,Calagary,yes
804,Electrical,Edmonton,NO
805,Electrical,Ottawa,yes
806,Math,Kitchener,NO
807,CS,Edmonton,NO
808,Chemical,Quebec,yes
809,Music,Quebec,NO
810,Music,Calagary,yes
811,Chemical,Vancour,yes
812,Chemical,Quebec,NO
813,astronomy,Ottawa,NO
814,Music,Quebec,yes
815,Physics,Quebec,NO
816,Bio,Hamilton,yes
817,Music,Winnipeg,yes
818,Electrical,Winnipeg,yes
819,Math,Vancour,NO
820,Electrical,Ottawa,yes
821,Electrical,Ottawa,yes
822,Math,Hamilton,yes
823,Chemical,Kitchener,yes
824,Electrical,Ottawa,NO
825,CS,Quebec,yes
826,CS,Winnipeg,NO
827,Chemical,Calagary,NO
828,Bio,Quebec,NO
829,Electrical,Quebec,NO
830,CS,Hamilton,yes
831,Physics,Quebec,yes
832,astronomy,Edmonton,yes
833,Chemical,Kitchener,yes
834,astronomy,Vancour,NO
835,Physics,Calagary,NO
836,Chemical,Edmonton,yes
837,astronomy,Hamilton,NO
838,Physics,Kitchener,yes
839,Music,Edmonton,NO
840,astronomy,Vancour,NO
841,Music,Hamilton,yes
842,Music,Winnipeg,NO
843,Math,Winnipeg,NO
844,Physics,Edmonton,NO
845,Electrical,Winnipeg,yes
846,CS,Hamilton,yes
847,astronomy,Calagary,yes
848,astronomy,Quebec,NO
849,astronomy,Kitchener,NO
850,CS,Winnipeg,NO
851,Electrical,Ottawa,yes
852,CS,Ottawa,NO
853,Electrical,Hamilton,NO
854,Chemical,Ottawa,yes
855,Physics,Calagary,NO
856,Bio,Hamilton,yes
857,Music,Kitchener,NO
858,Bio,Winnipeg,NO
859,Chemical,Ottawa,NO
860,Music,Ottawa,yes
861,CS,Edmonton,yes
862,CS,Kitchener,NO
863,Math,Winnipeg,NO
864,Math,Edmonton,yes
865,Chemical,Vancour,yes
866,Math,Edmonton,NO
867,CS,Hamilton,yes
868,Chemical,Winnipeg,NO
869,Bio,Winnipeg,NO
870,Bio,Edmonton,yes
871,Math,Quebec,NO
872,Physics,Edmonton,NO
873,Bio,Quebec,NO
874,astronomy,Kitchener,NO
875,Math,Winnipeg,NO
876,astronomy,Quebec,yes
877,Bio,Edmonton,yes
878,CS,Edmonton,yes
879,Chemical,Vancour,yes
880,Bio,Winnipeg,yes
881,Math,Quebec,yes
882,Physics,Hamilton,yes
883,Bio,Edmonton,yes
884,astronomy,Kitchener,NO
885,Music,Kitchener,NO
886,astronomy,Winnipeg,yes
887,Electrical,Edmonton,yes
888,Bio,Kitchener,NO
889,astronomy,Vancour,NO
890,Math,Hamilton,NO
891,astronomy,Winnipeg,NO
892,astronomy,Calagary,NO
893,Physics,Edmonton,NO
894,Electrical,Quebec,yes
895,Music,Hamilton,yes
896,Math,Winnipeg,yes
897,CS,Calagary,NO
898,Math,Quebec,NO
899,Bio,Winnipeg,NO
900,Bio,Winnipeg,NO
901,Math,Vancour,yes
902,CS,Ottawa,NO
903,CS,Calagary,yes
904,Chemical,Kitchener,yes
905,Chemical,Vancour,NO
906,CS,Kitchener,yes
907,Bio,Vancour,NO
908,Bio,Calagary,NO
909,Music,Quebec,NO
910,Math,Winnipeg,NO
911,Music,Vancour,yes
912,CS,Hamilton,NO
913,Chemical,Vancour,yes
914,Bio,Calagary,NO
915,Electrical,Hamilton,yes
916,Math,Hamilton,yes
917,Bio,Ottawa,yes
918,Bio,Vancour,NO
919,Music,Edmonton,NO
920,astronomy,Winnipeg,yes
921,Music,Ottawa,NO
922,Math,Ottawa,NO
923,Music,Edmonton,NO
924,CS,Winnipeg,yes
925,Music,Calagary,NO
926,Bio,Calagary,yes
927,Music,Kitchener,NO
928,Math,Hamilton,NO
929,Physics,Hamilton,yes
930,Music,Hamilton,NO
931,CS,Winnipeg,yes
932,astronomy,Ottawa,NO
933,Chemical,Winnipeg,NO
934,CS,Calagary,NO
935,astronomy,Winnipeg,yes
936,astronomy,Ottawa,NO
937,Math,Kitchener,yes
938,Physics,Quebec,NO
939,Chemical,Calagary,NO
940,CS,Ottawa,NO
941,Chemical,Kitchener,yes
942,CS,Hamilton,NO
943,Physics,Winnipeg,NO
944,Electrical,Edmonton,yes
945,CS,Edmonton,NO
946,Electrical,Vancour,NO
947,Physics,Edmonton,yes
